errorRate,startTime,FlowID,SourceAddress,DestinatioAddress,TxPackets,RxPackets,Throughput,Latency,,,,,,,,,,,,,,,,,
0.1,95,1,10.1.1.1,10.1.2.2,9274,7490,0.38086,39.7188,,,,,,,,,,,,,,,,,
0.1,105,1,10.1.1.1,10.1.2.2,10696,8639,0.390253,39.3118,,,,,,,,,,,,,,,,,
0.2,15,1,10.1.1.1,10.1.2.2,35,18,0.0227862,21.5936,,For Rows 112-121,,errorRate = 0.2,,,,,,,,,,,,,
0.2,25,1,10.1.1.1,10.1.2.2,58,28,0.00640091,21.4459,,"Throughput - Mean: 0.015816356, Standard Deviation: 0.00731636326966433, Variance: 5.352917149369333e-05",,,,,,,,,,,,,,,
0.2,35,1,10.1.1.1,10.1.2.2,79,40,0.00740845,21.3307,,"Latency - Mean: 21.49539, Standard Deviation: 0.25446999146373905, Variance: 0.06475497655555544",,,,,,,,,,,,,,,
0.2,45,1,10.1.1.1,10.1.2.2,141,85,0.0100639,21.1982,,"Throughput - Width of Confidence Interval: 0.0084822567471242, Confidence Interval: (0.0073340992528758, 0.0242986127471242)",,,,,,,,,,,,,,,
0.2,55,1,10.1.1.1,10.1.2.2,198,122,0.0115644,21.183,,"Latency - Width of Confidence Interval: 0.2950208624800785, Confidence Interval: (21.20036913751992, 21.79041086248008)",,,,,,,,,,,,,,,
0.2,65,1,10.1.1.1,10.1.2.2,237,146,0.0111156,21.2116,,,,,,,,,,,,,,,,,
0.2,75,1,10.1.1.1,10.1.2.2,427,264,0.0170707,21.623,,,,,,,,,,,,,,,,,
0.2,85,1,10.1.1.1,10.1.2.2,626,399,0.0230109,21.7566,,,,,,,,,,,,,,,,,
0.2,95,1,10.1.1.1,10.1.2.2,741,471,0.0237132,21.7988,,,,,,,,,,,,,,,,,
0.2,105,1,10.1.1.1,10.1.2.2,841,544,0.0250293,21.8125,,,,,,,,,,,,,,,,,
